times,real number of connections,estimated number of connections
1542365737.467348,1,1
1542365737.467562,1,1
1542365737.467625,1,1
1542365737.476657,1,1
1542365737.477046,1,1
1542365737.478636,1,1
1542365737.481417,1,1
1542365737.483559,1,1
1542365737.485535,1,1
1542365737.486376,1,1
1542365737.487358,1,1
1542365737.48831,1,1
1542365737.488717,1,1
1542365737.490259,1,1
1542365737.490704,1,1
1542365737.499233,1,1
1542365737.518663,1,1
1542365737.519925,1,1
1542365737.557791,1,1
1542365737.560923,1,1
1542365737.561822,1,1
1542365737.60136,1,1
1542365737.602671,1,1
1542365737.602711,1,1
1542365737.602725,1,1
1542365737.604156,1,1
1542365737.604794,1,1
1542365737.605389,1,1
1542365737.619349,1,1
1542365737.628729,1,1
1542365737.630032,1,1
1542365737.634713,1,1
1542365737.634757,1,1
1542365737.634773,1,1
1542365737.634786,1,1
1542365737.634802,1,1
1542365737.634813,1,1
1542365737.639101,1,1
1542365737.6392,1,1
1542365737.640149,1,1
1542365737.642662,1,1
1542365737.643988,1,1
1542365737.646539,1,1
1542365737.647922,1,1
1542365737.650193,1,1
1542365737.651169,1,1
1542365737.652105,1,1
1542365737.652986,1,1
1542365737.653422,1,1
1542365737.654981,1,1
1542365737.655394,1,1
1542365737.657278,1,1
1542365737.657706,1,1
1542365737.671295,1,1
1542365737.674045,1,1
1542365737.675516,1,1
1542365737.677488,1,1
1542365737.678868,1,1
1542365737.681152,1,1
1542365737.68155,1,1
1542365737.683702,1,1
1542365737.699205,1,1
1542365737.713643,1,1
1542365737.715356,1,1
1542365737.716682,1,1
1542365737.718615,1,1
1542365737.720571,1,1
1542365737.723438,1,1
1542365737.725817,1,1
1542365737.726653,1,1
1542365737.727117,1,1
1542365737.729037,1,1
1542365737.729982,1,1
1542365737.730924,1,1
1542365737.731307,1,1
1542365737.735591,1,1
1542365737.736357,1,1
1542365737.737254,1,1
1542365737.737714,1,1
1542365737.740445,1,1
1542365737.741355,1,1
1542365737.742301,1,1
1542365737.742619,1,1
1542365737.744638,1,1
1542365737.745528,1,1
1542365737.746477,1,1
1542365737.748226,1,1
1542365737.757019,1,1
1542365737.757406,1,1
1542365737.762572,1,1
1542365737.762981,1,1
1542365737.78622,1,1
1542365737.787618,1,1
1542365737.8051,1,1
1542365737.806394,1,1
1542365737.808426,1,1
1542365737.828354,1,1
1542365737.841717,1,1
1542365737.845583,1,1
1542365737.859721,1,1
1542365737.867458,1,1
1542365737.897824,1,1
1542365737.905253,1,1
1542365737.930685,1,1
1542365737.930729,1,1
1542365737.930745,1,1
1542365737.931892,1,1
1542365737.933616,1,1
1542365737.935396,1,1
1542365737.939327,1,1
1542365737.941166,1,1
1542365737.950717,1,1
1542365737.952089,1,1
1542365737.95387,1,1
1542365737.955234,1,1
1542365737.957715,1,1
1542365737.959567,1,1
1542365737.970874,1,1
1542365737.973519,1,1
1542365737.975368,1,1
1542365737.976713,1,1
1542365737.986705,1,1
1542365737.993296,1,1
1542365737.995356,1,1
1542365738.009376,1,1
1542365738.011794,1,1
1542365738.013655,1,1
1542365738.015674,1,1
1542365738.05774,1,1
1542365738.094648,1,1
1542365738.103431,1,1
1542365738.104608,1,1
1542365738.107539,1,1
1542365738.109397,1,1
1542365738.111373,1,1
1542365738.113234,1,1
1542365738.114159,1,1
1542365738.114574,1,1
