times,real number of connections,estimated number of connections
1542365741.426074,1,1
1542365741.450413,1,1
1542365741.451306,1,1
1542365741.45223,1,1
1542365741.452656,1,1
1542365741.459991,1,1
1542365741.461355,1,1
1542365741.475607,1,1
1542365741.477239,1,1
1542365741.486193,1,1
1542365741.488968,1,1
1542365741.489926,1,1
1542365741.490307,1,1
1542365741.496577,1,1
1542365741.49877,1,1
1542365741.507727,1,1
1542365741.509463,1,1
1542365741.523138,1,1
1542365741.52622,1,1
1542365741.538925,1,1
1542365741.54402,1,1
1542365741.547204,1,1
1542365741.547622,1,1
1542365741.558266,1,1
1542365741.570663,1,1
1542365741.579478,1,1
1542365741.593122,1,1
1542365741.600153,1,1
1542365741.602434,1,1
1542365741.617422,1,1
1542365741.635056,1,1
1542365741.638313,1,1
1542365741.640283,1,1
1542365741.645731,1,1
1542365741.656631,1,1
1542365741.665462,1,1
1542365741.670823,1,1
1542365741.675353,1,1
1542365741.731709,1,1
1542365741.750221,1,1
1542365741.750263,1,1
1542365741.750277,1,1
1542365741.812696,1,1
1542365741.812819,1,1
1542365741.813821,1,1
1542365741.818406,1,1
1542365741.957927,1,1
1542365741.966515,1,1
1542365741.969594,1,1
1542365741.970192,1,1
1542365742.237181,1,1
1542365742.237253,1,1
1542365742.237281,1,1
1542365742.237294,1,1
1542365742.237322,1,1
1542365742.308834,1,1
1542365742.316325,1,1
1542365742.327961,1,1
1542365742.329205,1,1
1542365742.331257,1,1
1542365742.333926,1,1
1542365742.337445,1,1
1542365742.340302,1,1
1542365742.341647,1,1
1542365742.348905,1,1
1542365742.375516,1,1
1542365742.432626,1,1
1542365742.449559,1,1
1542365742.453341,1,1
1542365742.459956,1,1
1542365742.466453,1,1
1542365742.47876,1,1
1542365742.488605,1,1
1542365742.503562,1,1
1542365742.515654,1,1
1542365742.521368,1,1
1542365742.530526,1,1
1542365742.53548,1,1
1542365742.55388,1,1
1542365742.584806,1,1
1542365742.584875,1,1
1542365742.587524,1,1
1542365742.588391,1,1
1542365742.589312,1,1
1542365742.589721,1,1
1542365742.60537,1,1
1542365742.612401,1,1
1542365742.61481,1,1
1542365742.614872,1,1
1542365742.615407,1,1
1542365742.616836,1,1
1542365742.618761,1,1
1542365742.629537,1,1
1542365742.635429,1,1
1542365742.637446,1,1
1542365742.642579,1,1
1542365742.648358,1,1
1542365742.650678,1,1
1542365742.657951,1,1
1542365742.682611,1,1
1542365742.684444,1,1
1542365742.684838,1,1
1542365742.691014,1,1
1542365742.691407,1,1
1542365742.700095,1,1
1542365742.725648,1,1
1542365742.738886,1,1
1542365742.784952,1,1
1542365742.807666,1,1
1542365742.827751,1,1
1542365742.849435,1,1
1542365742.956196,1,1
1542365742.956214,1,1
1542365743.105318,1,1
1542365743.131844,1,1
1542365743.13203,1,1
1542365743.153032,1,1
1542365743.174809,0,1
1542365749.595145,1,1
1542365749.669417,1,1
1542365749.669688,1,1
1542365749.744822,1,1
1542365749.754177,1,1
1542365749.754669,1,1
1542365749.758413,1,1
1542365749.866277,1,1
1542365749.995753,1,1
1542365750.02801,1,1
1542365750.02824,1,1
1542365750.267788,1,1
1542365750.328949,1,1
1542365750.349767,1,1
1542365750.349887,1,1
1542365750.34997,1,1
1542365750.350078,1,1
1542365750.350779,1,1
1542365750.455139,1,1
1542365750.458477,1,1
1542365770.226985,1,0
1542365770.236435,1,0
1542365770.236534,0,0
1542365781.062425,1,1
1542365781.312997,1,1
1542365781.996482,1,1
1542365781.996746,1,1
1542365782.020417,1,1
1542365782.27007,1,1
1542365782.272029,1,1
1542365782.275989,1,1
1542365782.276163,1,1
1542365782.420325,1,1
1542365782.420454,1,1
1542365782.422826,1,1
1542365782.478646,1,1
1542365783.919744,1,1
1542365783.989538,1,1
1542365784.23869,1,1
1542365784.23942,1,1
1542365784.804421,1,1
1542365785.117849,1,1
1542365785.401393,1,1
1542365785.402328,1,1
1542365785.728961,1,1
1542365785.737349,1,1
1542365785.737471,1,1
1542365786.067902,1,1
1542365786.109972,1,1
1542365786.317437,1,1
1542365786.317621,1,1
1542365786.31773,1,1
1542365786.317822,1,1
1542365786.320346,1,1
1542365786.894558,1,1
1542365787.05378,1,1
1542365787.083272,1,1
1542365787.084564,1,1
1542365789.471409,1,0
1542365789.617924,1,0
1542365789.727194,1,1
1542365790.365673,1,1
1542365790.409321,1,1
1542365790.409474,0,1
1542365790.455785,1,2
1542365790.577486,1,2
1542365790.577799,1,2
1542365790.711258,1,2
1542365790.714054,1,2
1542365790.874207,1,2
1542365791.008912,1,2
1542365791.01174,1,2
1542365791.011793,1,2
1542365791.011854,1,2
1542365791.122081,1,2
1542365791.124086,0,2
1542365792.019195,1,3
1542365792.287652,1,3
1542365792.302149,1,3
1542365792.302333,1,3
1542365792.308857,1,3
1542365792.315538,1,3
1542365792.320545,1,3
1542365792.47302,1,3
1542365792.478462,1,3
1542365792.484136,1,3
1542365792.489468,1,3
1542365792.494975,1,3
1542365792.537525,1,3
1542365792.557214,1,3
1542365792.565624,1,3
1542365792.594756,1,3
1542365792.607896,1,3
1542365792.614777,1,3
1542365792.620095,1,3
1542365792.630862,1,3
1542365792.636043,1,3
1542365792.66065,1,3
1542365792.690663,1,3
1542365792.698595,1,3
1542365792.715346,1,3
1542365792.728751,1,3
1542365792.739534,1,3
1542365792.751974,1,3
1542365792.757592,1,3
1542365792.763323,1,3
1542365792.7682,1,3
1542365792.774685,1,3
1542365792.782856,1,3
1542365792.788787,1,3
1542365792.794357,1,3
1542365792.803497,1,1
1542365792.809201,1,1
1542365792.871534,1,1
1542365792.877223,1,1
1542365792.88593,1,1
1542365792.894458,1,1
1542365792.905875,1,1
1542365792.911303,1,1
1542365792.92047,1,1
1542365792.925958,1,1
1542365792.933049,1,1
1542365792.981963,1,1
1542365793.130794,1,1
1542365793.132374,1,1
1542365793.205732,1,1
1542365793.205932,1,1
1542365793.212866,1,1
1542365793.217919,1,1
1542365793.223645,1,1
1542365793.231666,1,1
1542365793.23936,1,1
1542365793.254066,1,1
1542365793.262207,1,1
1542365793.27002,1,1
1542365793.275763,1,1
1542365793.284187,1,1
1542365793.298172,1,1
1542365793.303539,1,1
1542365793.309315,1,1
1542365793.315151,1,1
1542365793.340173,1,1
1542365793.345694,1,1
1542365793.352863,1,1
1542365793.361791,1,1
1542365793.373129,1,1
1542365793.378522,1,1
1542365793.389715,1,1
1542365793.400752,1,1
1542365793.48636,1,1
1542365793.491751,1,1
1542365793.498583,1,1
1542365793.506188,1,1
1542365793.526492,1,1
1542365793.600368,1,1
1542365793.607872,1,1
1542365793.616046,1,1
1542365793.621398,1,1
1542365793.629862,1,1
1542365793.636393,1,1
1542365793.647051,1,1
1542365793.652318,1,1
1542365793.66342,1,1
1542365793.671662,1,1
1542365793.680083,1,1
1542365793.68546,1,1
1542365793.710009,1,1
1542365793.718382,1,1
1542365793.726634,1,1
1542365793.734716,1,1
1542365793.742915,1,1
1542365793.751856,1,1
1542365793.760108,1,1
1542365793.769131,1,1
1542365793.824015,1,1
1542365793.829577,1,1
1542365793.837758,1,1
1542365793.857121,1,1
1542365793.881447,1,1
1542365793.887069,1,1
1542365793.898329,1,1
1542365793.908103,1,1
1542365793.913512,1,1
1542365793.926944,1,1
1542365793.935263,1,1
1542365793.941196,1,1
1542365793.968148,1,1
1542365793.981842,1,1
1542365793.993012,1,1
1542365793.998439,1,1
1542365794.025843,1,1
1542365794.029502,1,1
1542365794.073475,1,1
1542365794.086982,1,1
1542365794.092323,1,1
1542365794.100861,1,1
1542365794.106252,1,1
1542365794.114533,1,1
1542365794.11999,1,1
1542365794.125349,1,1
1542365794.130789,1,1
1542365794.147381,1,1
1542365794.160909,1,1
1542365794.166037,1,1
1542365794.18325,1,1
1542365794.207834,1,1
1542365794.251046,1,1
1542365794.26464,1,1
1542365794.2728,1,1
1542365794.281043,1,1
1542365794.286454,1,1
1542365794.305943,1,1
1542365794.319423,1,1
1542365794.32624,1,1
1542365794.328561,1,1
1542365794.333187,1,1
1542365794.337148,1,1
1542365794.341097,1,1
1542365794.346393,1,1
1542365794.35038,1,1
1542365794.354302,1,1
1542365794.363932,1,1
1542365794.472115,1,1
1542365794.476149,1,1
1542365794.480084,1,1
1542365794.490595,1,1
1542365794.495465,1,1
1542365794.504685,1,1
1542365794.513038,1,1
1542365794.523942,1,1
1542365794.527995,1,1
1542365794.556141,1,1
1542365794.579141,1,1
1542365794.597782,1,1
1542365794.606611,1,1
1542365794.614787,1,1
1542365794.640404,1,1
1542365794.6684,1,1
1542365794.677233,1,1
1542365794.68542,1,1
1542365794.693655,1,1
1542365794.704904,1,1
1542365794.713207,1,1
1542365794.718499,1,1
1542365794.724354,1,1
1542365794.732668,1,1
1542365794.740949,1,1
1542365794.749609,1,1
1542365794.75773,1,1
1542365794.763118,1,1
1542365794.790156,1,1
1542365794.798849,1,1
1542365794.80428,1,1
1542365794.809918,1,1
1542365794.820834,1,1
1542365794.826229,1,1
1542365794.831614,1,1
1542365794.840476,1,1
1542365794.852762,1,1
1542365794.860898,1,1
1542365794.869033,1,1
1542365794.879379,1,1
1542365794.890149,1,1
1542365794.895592,1,1
1542365794.901011,1,1
1542365794.912127,1,1
1542365794.921476,1,1
1542365794.932652,1,1
1542365794.938052,1,1
1542365794.943181,1,1
1542365794.948757,1,1
1542365794.954962,1,1
1542365794.965699,1,1
1542365794.976615,1,1
1542365795.002639,1,1
1542365795.014467,1,1
1542365795.019826,1,1
1542365795.038564,1,1
1542365795.05046,1,1
1542365795.076655,1,1
1542365795.091089,1,1
1542365795.09644,1,1
1542365795.102245,1,1
1542365795.11323,1,1
1542365795.121437,1,1
1542365795.127038,1,1
1542365795.135902,1,1
1542365795.1442,1,1
1542365795.149536,1,1
1542365795.1551,1,1
1542365795.163341,1,1
1542365795.174558,1,1
1542365795.182304,1,1
1542365795.190566,1,1
1542365795.195957,1,1
1542365795.204291,1,1
1542365795.215717,1,1
1542365795.221055,1,1
1542365795.249027,1,1
1542365795.257601,1,1
1542365795.263166,1,1
1542365795.271395,1,1
1542365795.298517,1,1
1542365795.309772,1,1
1542365795.334414,1,1
1542365795.345476,1,1
1542365795.369889,1,1
1542365795.378347,1,1
1542365795.394559,1,1
1542365795.399532,1,1
1542365795.403493,1,1
1542365795.407696,1,1
1542365795.411705,1,1
1542365795.415681,1,1
1542365795.421512,1,1
1542365795.425418,1,1
1542365795.429411,1,1
1542365795.434926,1,1
1542365795.438902,1,1
1542365795.44534,1,1
1542365795.479493,1,1
1542365795.486234,1,1
1542365795.490807,1,1
1542365795.508304,1,1
1542365795.513609,1,1
1542365795.517573,1,1
1542365795.534002,1,1
1542365795.535393,1,1
1542365795.538286,1,1
1542365795.58028,1,1
1542365795.583922,1,1
1542365795.587814,1,1
1542365795.598554,1,1
1542365795.608125,1,1
1542365795.629563,1,1
1542365795.633732,1,1
1542365795.651453,1,1
1542365795.655429,1,1
1542365795.672916,1,1
1542365795.677127,1,1
1542365795.681093,1,1
1542365795.69982,1,1
1542365795.703789,1,1
1542365795.707738,1,1
1542365795.711884,1,1
1542365795.715883,1,1
1542365795.719846,1,1
1542365795.724134,1,1
1542365795.726251,1,1
1542365795.729109,1,1
1542365796.039091,1,1
1542365796.057267,1,1
1542365796.357325,1,1
1542365796.357342,1,1
1542365796.357402,1,1
1542365796.357415,1,1
1542365796.362498,1,1
1542365796.371301,1,1
1542365796.377015,1,1
1542365796.379615,1,1
1542365796.384965,1,1
1542365796.409873,1,1
1542365796.451105,1,1
1542365796.580058,1,1
1542365796.592396,1,1
1542365796.601125,1,1
1542365796.644736,1,1
1542365796.652146,1,1
1542365796.662586,1,1
1542365796.670755,1,1
1542365796.675261,1,1
1542365838.839147,1,0
1542365841.413689,1,0
1542365841.687698,1,0
